CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2025,10.3239,0
1.2025,10.3072,0
1.2027,10.3335,0
1.2032,10.3291,0
1.2036,10.3666,0
1.2037,10.3921,0
1.2038,10.4076,0
1.2029,10.6282,0
1.2035,10.6081,0
1.2033,10.6825,0
1.203,11.0168,0
1.2027,11.1189,0
1.2031,11.0877,0
1.2029,11.1592,0
1.2029,11.2764,0
1.204,11.1989,0
1.2035,11.4007,0
1.2038,11.3103,0
1.2037,11.2043,0
1.2033,11.2571,0
1.2037,11.2932,0
1.2041,11.1328,0
1.2032,11.0147,0
1.203,10.8901,0
1.203,10.7651,0
1.2024,10.7064,0
1.2027,10.6606,0
1.2036,10.6947,0
1.2034,10.718,0
1.2035,10.6407,0
1.2036,10.4283,0
1.2029,10.3426,0
1.2037,10.3628,0
1.2027,10.4735,0
1.2026,10.4797,0
1.2025,10.5909,0
1.2027,10.5486,0
1.2035,10.4234,0
1.2032,10.322,0
1.2035,10.3391,0
1.2036,10.3137,0
1.2033,10.2236,0
1.2036,10.2902,0
1.2028,10.5435,0
1.203,10.583,0
1.2022,10.534,0
1.2031,10.4694,0
1.2038,10.3944,0
1.2034,10.4504,0
1.2034,10.6811,0
1.2031,10.6942,0
1.2026,10.5533,0
1.2036,10.5652,0
1.2031,10.6158,0
1.2029,10.4059,0
1.2029,10.2395,0
1.2031,10.1325,0
1.2041,10.2617,0
1.2032,10.3402,0
1.2039,10.201,0
1.203,10.0138,0
1.2026,10.0202,0
1.2033,9.8826,0
1.2025,9.7452,0
1.2026,9.5759,0
1.2028,9.6211,0
1.203,9.8147,0
1.2035,9.7716,0
1.2035,9.5954,0
1.2033,9.571,0
1.2036,9.6805,0
1.2025,9.8668,0
1.2031,10.1481,0
1.2031,10.2137,0
1.2028,10.3273,0
1.2027,10.3194,0
1.2028,10.2301,0
1.2038,10.1605,0
1.2032,10.0158,0
1.2035,9.9033,0
1.2025,9.9229,0
1.2028,9.759,0
1.2035,9.7132,0
1.2034,9.6367,0
1.2033,9.636,0
1.2036,9.6496,0
1.2035,9.5883,0
1.2033,9.5041,0
1.2034,9.4797,0
1.2028,9.4937,0
1.2031,9.5871,0
1.2025,9.556,0
1.2036,9.506,0
1.2032,9.6033,0
1.2037,9.6998,0
1.2027,9.7535,0
1.2025,9.759,0
1.203,9.6024,0
1.203,9.5083,0
1.2036,9.7427,0
1.2032,9.8272,0
1.2036,9.9274,0
1.2032,9.8623,0
1.2029,9.6404,0
1.2031,9.535,0
1.2036,9.3577,0
1.2032,9.4867,0
1.2037,9.4495,0
1.2033,9.4308,0
1.2034,9.5735,0
1.2029,9.8322,0
1.2028,9.8919,0
1.2027,9.9464,0
1.2032,9.9702,0
1.2037,9.8575,0
1.2033,9.8973,0
1.2036,10.0135,0
1.2035,9.9309,0
1.203,9.7337,0
1.2033,9.4918,0
1.2034,9.6249,0
1.2028,9.5375,0
1.2026,9.5655,0
1.2031,9.5825,0
1.203,9.5809,0
1.2026,9.7847,0
1.2029,9.6233,0
1.2027,9.5545,0
1.2027,9.6165,0
1.2028,10.0382,0
1.2029,10.1459,0
1.2027,10.0931,0
1.2027,10.0973,0
1.2032,10.3198,0
1.203,10.208,0
1.2031,10.0511,0
1.2029,10.0908,0
1.2021,10.257,0
1.2028,10.2712,0
1.2031,10.3338,0
1.2032,10.4438,0
1.2026,10.6077,0
1.2027,10.7305,0
1.2028,10.7218,0
1.2029,10.73,0
1.2027,10.7637,0
1.2028,10.9222,0
1.2026,10.9577,0
1.2031,10.7738,0
1.2032,10.6317,0
1.203,10.7587,0
1.2031,10.7313,0
1.2033,10.7585,0
1.2032,10.6838,0
1.2038,10.4686,0
1.2034,10.3527,0
1.2038,10.2894,0
1.2037,10.3422,0
1.2039,10.2517,0
1.2034,10.4541,0
1.2035,10.623,0
1.203,10.7839,0
1.2034,10.8087,0
1.2031,11.1196,0
1.2029,11.3628,0
1.2032,11.3471,0
1.2026,11.2817,0
1.2031,11.2536,0
1.2033,11.1386,0
1.2022,11.2096,0
1.2028,11.1941,0
1.203,11.0971,0
1.2037,10.9489,0
1.2038,11.016,0
1.2036,10.983,0
1.2031,10.8596,0
1.2034,10.975,0
1.2036,10.8107,0
1.2035,10.7987,0
1.2035,10.7358,0
1.2034,10.739,0
1.2034,10.5769,0
1.2034,10.3808,0
1.2027,10.2248,0
1.2027,10.2531,0
1.2029,10.2922,0
1.2032,10.1611,0
1.2036,10.1909,0
1.2036,10.1867,0
1.2031,10.1185,0
1.2035,9.9354,0
1.2036,10.034,0
1.2042,10.0314,0
1.2034,10.0322,0
1.2032,9.9824,0
1.2024,9.921,0
1.2024,9.8837,0
1.2032,9.8013,0
1.2037,9.8391,0
1.2032,9.8094,0
1.2038,9.8687,0
1.2033,9.9047,0
1.2034,10.1392,0
1.203,10.2071,0
1.2034,10.2213,0
1.2032,10.3778,0
1.2038,10.3981,0
1.2038,10.2429,0
1.2032,10.2274,0
1.2034,10.1586,0
1.2039,10.0328,0
1.2026,10.0268,0
1.2028,10.107,0
1.2027,10.1372,0
1.2029,9.9694,0
1.2033,10.0808,0
1.2028,10.0577,0
1.2029,9.8771,0
1.2034,9.9444,0
1.2036,10.1759,0
1.2035,9.924,0
1.2036,9.7783,0
1.2037,9.7788,0
1.2033,9.6712,0
1.2029,9.6235,0
1.2025,9.5588,0
1.2027,9.6339,0
1.2035,9.7377,0
